threads,avg_total_ms,speedup,parallel_efficiency_pct
1,562711.324,1.0000,100.00
2,289388.867,1.9445,97.22
4,152777.420,3.6832,92.08
6,106664.549,5.2755,87.93
8,83296.944,6.7555,84.44
10,68957.658,8.1602,81.60
12,59367.609,9.4784,78.99
14,52691.575,10.6793,76.28
16,48767.370,11.5387,72.12
32,38343.427,14.6756,45.86
