image_name,width,height,total_pixels,trials,avg_ms,min_ms,max_ms,stddev_ms
color_text_small_1k.jpeg,1017,597,607149,1000,28.952,25.659,33.296,1.360
noisy_document_1K.jpg,767,1000,767000,1000,29.181,26.525,35.285,1.338
color_text_2K.jpg,2048,1202,2461696,1000,118.618,106.479,203.903,7.167
color_historic_document_1_2K.JPG,2480,3511,8707280,1000,545.505,514.827,614.347,15.411
color_text_8K.jpg,7680,4508,34621440,941,1902.528,1798.636,2103.300,40.544
color_text_16K.jpg,15360,9017,138501120,191,9419.059,8985.569,11398.112,384.586
