threads,avg_total_ms,speedup,parallel_efficiency_pct
1,66122.057,1.0000,100.00
2,34982.145,1.8902,94.51
4,19392.479,3.4097,85.24
6,13767.809,4.8027,80.04
8,10835.236,6.1025,76.28
10,9070.081,7.2901,72.90
12,7864.246,8.4079,70.07
14,7037.215,9.3961,67.11
16,6474.645,10.2125,63.83
32,5098.155,12.9698,40.53
