threads,avg_total_ms,speedup,parallel_efficiency_pct
1,1202.155,1.0000,100.00
2,749.781,1.6033,80.17
4,528.193,2.2760,56.90
6,458.097,2.6242,43.74
8,431.213,2.7878,34.85
10,418.681,2.8713,28.71
12,398.964,3.0132,25.11
14,389.665,3.0851,22.04
16,376.869,3.1898,19.94
32,387.104,3.1055,9.70
