threads,avg_total_ms,speedup,parallel_efficiency_pct
1,7024.836,1.0000,100.00
2,4117.929,1.7059,85.30
4,2620.273,2.6810,67.02
6,2169.343,3.2382,53.97
8,1942.380,3.6166,45.21
10,1831.675,3.8352,38.35
12,1671.941,4.2016,35.01
14,1663.371,4.2233,30.17
16,1664.153,4.2213,26.38
32,1477.029,4.7561,14.86
