threads,avg_total_ms,speedup,parallel_efficiency_pct
1,1027.371,1.0000,100.00
2,564.851,1.8188,90.94
4,330.501,3.1085,77.71
6,273.455,3.7570,62.62
8,242.231,4.2413,53.02
10,222.954,4.6080,46.08
12,209.773,4.8975,40.81
14,199.272,5.1556,36.83
16,194.195,5.2904,33.07
32,201.905,5.0884,15.90
