threads,avg_total_ms,speedup,parallel_efficiency_pct
1,36996.675,1.0000,100.00
2,22587.908,1.6379,81.89
4,15136.610,2.4442,61.10
6,12681.104,2.9175,48.62
8,10936.067,3.3830,42.29
10,10193.112,3.6296,36.30
12,9301.648,3.9774,33.15
14,8941.605,4.1376,29.55
16,9017.760,4.1026,25.64
32,8225.841,4.4976,14.06
